time,bkgd_a,bkgd_b,bkgd_c
1502545980,1440,95232,98904.4235353182
1502549580,1440,95232,98962.964182572
1502552040,1560,88064,98987.543441746
1502553180,1560,92160,99012.12270092
1502555100,1560,92160,99016.8137653729
1502556780,1440,99328,99021.5048298258
1502560380,1500,92160,99055.8537833129
1502563980,1560,92160,99060.9115659544
1502567340,1700,84992,99050.8829848298
1502567580,1670,86016,99040.8544037052
1502571180,1780,79872,99030.4825562793
1502574780,1830,77824,99005.3370947381
1502578260,1800,78848,98980.9371200992
1502578380,1830,77824,98956.5371454603
1502581980,1720,82944,98957.1889380929
1502585460,1700,84992,98940.4695843465
1502585580,1670,86016,98923.7502306
1502589180,1610,84992,98899.2213797919
1502592780,1560,88064,98895.0294248373
1502596380,1560,88064,98914.5449708511
1502597820,1500,92160,98912.8615343316
1502599260,1500,89088,98911.1780978121
1502599980,1500,89088,98909.4946612927
1502603460,1400,96256,98906.9590983054
1502603580,1440,92160,98904.4235353182
1502607060,1500,90112,98897.2018235041
1502607180,1500,92160,98889.98011169
1502609400,1500,92160,98885.1014742893
1502610780,1500,92160,98880.2228368886
1502614380,1500,92160,98860.7082872859
1502616360,1440,95232,98838.6604258617
1502617980,1440,95232,98816.6125644375
1502621580,1390,98304,98812.3743978328
1502625060,1400,96256,98827.0089319557
1502625180,1390,95232,98841.6434660786
1502627280,1440,92160,98851.3998221605
1502628660,1400,96256,98861.1561782425
1502628780,1390,95232,98870.9125343244
1502632380,1390,95232,98900.1816025702
1502635020,1390,95232,98919.6943147341
1502635980,1390,95232,98939.2070268979
1502639580,1500,89088,98987.5528597034
1502641020,1500,84992,98994.9588938083
1502643180,1560,84992,99002.3649279131
1502646780,1610,82944,99016.3196192155
1502650380,1720,76800,99015.7434877604
1502653980,1830,71680,99024.8570744492
1502657580,1940,69632,99024.1420741839
1502661180,1890,76800,98980.9971514838
1502664660,1900,79872,98963.5260871269
1502664780,1940,77824,98946.0550227701
1502666340,2000,74752,98929.3644176634
1502668380,1890,82944,98912.6738125566
1502671980,1830,86016,98888.2172164714
1502674140,1780,92160,98876.3934360227
1502675580,1780,92160,98864.569655574
1502679180,1720,95232,98849.8389303692
1502682780,1720,92160,98869.3571135917
1502686380,1670,95232,98884.7155062316
1502689980,1610,99328,98860.1886333174
1502693580,1610,99328,98821.1558868429
1502697180,1610,99328,98801.6395136056
1502700780,1560,98304,98748.6628297339
1502704380,1560,98304,98748.6628297339
1502707980,1560,95232,98709.6317377064
1502710260,1560,95232,98709.6317377064
1502711580,1560,95232,98709.6317377064
1502714640,1500,95232,98707.1118140853
1502715180,1500,95232,98704.5918904643
1502718780,1440,99328,98748.3151426414
1502722380,1390,98304,98802.6180417509
1502725980,1440,99328,98806.8557898952
1502729580,1500,95232,98850.9510124846
1502731080,1500,92160,98863.232445654
1502733180,1560,88064,98875.5138788235
1502736780,1610,84992,98860.1886333174
1502740380,1670,81920,98855.4394629553
1502743980,1670,81920,98835.9221007711
1502744820,1720,79872,98826.163419679
1502747580,1670,79872,98816.404738587
1502751180,1720,76800,98771.7661974792
1502754780,1670,81920,98757.8526520343
1502758380,1610,82944,98723.5740206566
1502761980,1610,82944,98704.0576474194
1502765580,1560,84992,98690.1161916926
1502769180,1560,84992,98719.3895107133
1502772780,1560,84992,98719.3895107133
1502776380,1560,84992,98719.3895107133
1502779980,1560,81920,98699.8739646995
1502783580,1500,89088,98675.3200660602
1502787180,1500,84992,98665.5627912589
1502790780,1500,84992,98655.8055164575
1502794380,1560,84992,98631.5695536512
1502797980,1500,84992,98607.0191424508
1502801580,1440,89088,98611.7202990491
1502804880,1500,83968,98643.5201825547
1502805180,1500,84992,98675.3200660602
1502808780,1560,84992,98729.1472837201
1502811420,1610,82944,98755.6352120443
1502812380,1610,82944,98782.1231403684
1502815980,1720,76800,98810.8025639242
1502819580,1720,76800,98840.0798387579
1502823180,1780,74752,98854.8100731795
1502826780,1830,71680,98858.9372469048
1502830380,1830,71680,98858.9372469048
1502833980,1830,71680,98849.1772570492
1502837580,1940,69632,98848.4462085028
1502841180,1720,76800,98849.8389303692
1502844780,1720,76800,98859.5980219804
1502848380,1610,82944,98811.3977002243
1502851980,1500,89088,98821.6791880805
1502855580,1500,89088,98850.9510124846
1502859180,1500,84992,98899.7373864913
1502862780,1500,84992,98899.7373864913
1502865420,1560,84992,98907.1411786712
1502866380,1560,84992,98914.5449708511
1502869980,1500,89088,98919.251936094
1502873580,1560,84992,98904.7871978442
1502877180,1610,82944,98899.2213797919
1502880780,1610,82944,98899.2213797919
1502884380,1610,82944,98889.4631931733
1502887980,1560,84992,98924.302743858
1502891580,1610,82944,98977.2868727409
1502895180,1670,81920,99031.0957226131
