time,bkgd_a,bkgd_b,bkgd_c
1518666780,10.6,74,99642.3456490252
1518667860,10.6,74,99639.7113833411
1518670380,10,80,99637.077117657
1518673980,10,77,99666.3362436704
1518677580,10,77,99685.8423276793
1518681180,7.2,90,99699.9516842229
1518684780,5.6,96,99704.998125124
1518688380,5.6,92,99734.2457045095
1518691980,5,96,99758.0272118045
1518695580,5,96,99758.0272118045
1518699180,4.4,97,99742.7896858105
1518702780,4.4,93,99840.2709110703
1518706380,7.2,65,99953.4674537867
1518709980,8.3,63,100031.595058404
1518713580,10.6,54,100081.255746344
1518717180,11.1,52,100134.418605025
1518720780,12.2,50,100124.524370531
1518724380,13.3,43,100104.797628556
1518727980,15.6,35,100007.415547623
1518731580,16.1,36,99914.0727881292
1518735180,16.7,34,99870.3422965335
1518738780,16.7,35,99850.8249343494
1518742380,15.6,49,99861.0489525195
1518745980,12.8,64,99856.5853872365
1518749580,12.2,72,99929.4259208607
1518753180,11.1,77,99949.0928741174
1518756780,10.6,77,100042.241515471
1518760380,7.8,82,100036.867764029
1518763980,8.3,74,100060.849765479
1518767580,6.7,62,100046.4589744
1518771180,5,73,100011.492344953
1518774780,5,73,100001.743685986
1518778380,4.4,76,99908.5077687522
1518781980,5,73,99884.7597783787
1518785580,3.3,85,99830.1370052586
1518789180,4.4,76,99898.7596462262
1518792780,3.9,79,99933.151175957
1518796380,6.1,70,100002.021905268
1518799980,9.4,69,100051.145028496
1518803580,10.6,63,100051.995073189
1518807180,11.1,63,100036.878746652
1518810780,13.9,55,99963.624415501
1518814380,15.6,30,99851.2911795126
1518817980,16.1,30,99757.9418022311
1518821580,16.1,39,99689.6344959007
1518825180,15,55,99612.0184469899
1518828780,16.1,56,99611.5690029517
1518832380,12.8,66,99612.6996276936
1518835980,12.2,57,99656.288091323
1518839580,12.2,59,99685.5528587735
1518843180,10,63,99666.3362436704
1518846780,8.9,73,99695.6252929592
1518850380,9.4,77,99719.5592081459
1518853980,8.3,74,99690.2901425292
1518857580,7.2,74,99699.9516842229
1518861180,7.8,68,99685.8269959716
1518864780,6.1,76,99631.5357170648
1518868380,5.6,76,99578.2586144536
1518871980,5.6,76,99558.7602281966
1518875580,5,79,99533.8080555579
1518879180,5,79,99563.0540324596
1518882780,6.7,79,99558.9506468767
1518886380,11.7,54,99720.2291777354
1518889980,13.3,49,99724.3193995813
1518893580,13.3,62,99675.5401394563
1518897180,14.4,53,99645.9384005332
1518900780,17.2,43,99572.0117096018
1518904380,16.1,58,99455.4380170537
1518907980,18.3,40,99425.0166585269
1518911580,16.7,60,99392.1669230207
1518915180,15.6,57,99343.8869831542
1518918780,12.8,80,99300.5258554788
1518922380,11.7,89,99271.5222871772
1518925980,11.7,89,99261.7677895564
1518929580,11.1,93,99217.5439363249
1518933180,11.1,93,99237.0519079994
1518933420,11.1,93,99232.3488277139
1518934320,10.6,96,99227.6457474285
1518936780,10.6,100,99222.942667143
1518940260,11,94,99213.1891094248
1518940380,10.6,96,99203.4355517066
1518943980,10.6,96,99193.6819939884
1518947580,10,93,99168.9311014424
1518948660,10,93,99159.178059438
1518951180,10,86,99149.4250174335
1518953520,10,86,99142.2928325564
1518954780,10.6,86,99135.1606476793
1518957120,10,86,99126.9113815914
1518958260,10,87,99118.6621155035
1518958380,10,89,99110.4128494156
1518961620,10,87,99110.4128494156
1518961980,10,86,99110.4128494156
1518965580,10,86,99129.9189334246
1518967740,10,89,99142.9229894305
1518969060,10,87,99155.9270454365
1518969180,10,89,99168.9311014424
1518972660,12,71,99186.0859526369
1518972780,11.7,74,99203.2408038314
1518976380,12.2,64,99227.0715020495
1518979980,13.3,57,99217.0150942812
1518983580,13.3,60,99168.2358341562
1518987180,13.9,55,99114.8214363728
1518990780,13.3,53,99031.6539058061
1518994380,12.8,55,98978.5966528821
1518997980,11.7,54,98930.1148704482
1519001580,10.6,61,98920.5823778791
1519005180,9.4,63,98890.5946572713
1519008780,8.9,61,98915.458020785
1519012380,8.3,56,98929.6677585796
1519015980,7.8,60,98973.9943274099
1519019580,7.2,60,98988.15740814
1519023180,6.7,57,98973.9406538483
1519026780,6.7,60,98973.9406538483
1519030380,6.7,55,98993.4409869493
1519033980,6.7,53,98983.6908203988
1519037580,6.7,53,98954.4403207474
1519041180,6.7,57,98944.6901541969
1519044780,6.1,62,98910.0626137217
1519048380,6.1,65,98890.5633406584
1519051980,5.6,59,98954.3102542299
1519055580,5.6,64,99071.3005717718
1519059180,6.7,55,99139.6934852064
1519062780,7.8,51,99198.270373669
1519066380,8.9,47,99247.029111459
1519069980,10,44,99237.2023954737
1519073580,10,41,99178.6841434469
1519077180,10.6,36,99183.9284362702
1519080780,10,48,99149.4250174335
1519084380,10,50,99159.178059438
1519087980,10,48,99207.9432694603
1519091580,8.3,56,99222.2148293294
1519095180,7.2,60,99270.9249972688
1519098780,7.8,60,99315.2839630216
1519102380,7.2,56,99407.4334885724
1519105980,6.7,53,99500.4496475739
1519109580,6.1,55,99504.7904421532
1519113180,5.6,57,99529.5126488111
1519116780,5,60,99602.0486683286
1519120380,5,62,99689.7865990338
1519123980,3.3,70,99654.6886098187
1519127580,1.7,78,99630.0859237339
1519131180,1.1,79,99663.4515023997
1519134780,0.6,81,99717.2200124405
1519138380,0,85,99760.2754420224
1519141980,2.8,78,99844.9976804344
1519145580,6.1,65,99894.7759034197
1519149180,6.7,65,99900.2064761432
1519152780,7.8,58,99900.3519097847
1519156380,8.9,46,99841.9066564918
1519159980,10,30,99783.372747724
1519163580,10,34,99744.3605797061
1519167180,10,42,99754.1136217106
1519170780,9.4,46,99719.5592081459
1519174380,9.4,41,99729.3117322738
1519177980,8.9,51,99724.8815656657
1519181580,8.9,56,99734.6336565679
1519185180,8.9,54,99754.1378383722
1519188780,8.3,60,99748.7995566792
1519192380,8.3,65,99778.0542637542
1519195980,8.3,68,99748.7995566792
1519199580,8.3,68,99709.7932805792
1519203180,6.1,73,99660.7846266598
1519206780,5,79,99641.0433041976
1519210380,5,76,99572.8026914269
1519213980,5,76,99631.2946452304
1519217580,5,76,99650.7919631648
1519221180,5,79,99660.5406221321
1519224780,5,79,99689.7865990338
1519228380,6.1,79,99738.7817189131
1519231980,7.8,49,99754.0849230939
1519235580,9.4,44,99778.0743529135
1519239180,11.1,43,99822.2910582333
1519242780,10,48,99783.372747724
